id,ipsae,pdockq2,prodigy_kd,ipTM+pTM,pTM,REF2015,label_interacting
1A2YB_and_1JL1A,0.0,0.0198,1.3e-08,0.2776293216748711,0.20046814039599228,1545.2477690478618,0
1B0UA_and_1U2HA,0.0,0.0,5.2e-08,0.34506850248767046,0.24732843582115147,6858.214589894556,0
1CKAA_and_2EHSA,0.014338,0.0918,0.002,0.36885026128231835,0.3044106540671416,370.8611092566044,0
1CZTA_and_1X6IA,0.013745,0.073,9.9e-07,0.37720799738848165,0.2958097591496394,5358.572268114281,0
1D4TA_and_3DSHA,0.0,0.0,9.3e-07,0.29610743948009255,0.21426231798876522,4879.477110429841,0
1DEKA_and_2OS5A,0.0,0.0,7.5e-11,0.2521703200653525,0.14976637847083776,14690.118518258396,0
1DJ8A_and_3CX5F,0.013359,0.1043,1.9e-08,0.27686315423513475,0.21818796108673957,11392.545267793248,0
1DVPA_and_2C1DB,0.0,0.0016,8.6e-14,0.20924999641332578,0.14636332354762055,23604.57271990447,0
1EEJA_and_2CAYA,0.0,0.0,5.7e-06,0.2700232539175691,0.1828298915151964,4448.285382397984,0
1EERB_and_2B97A,0.118567,0.2017,3.7e-05,0.5787475387330592,0.5259435005799034,873.4660583338074,0
1EN2A_and_1YDGA,0.0,0.0,2.4e-08,0.27221538799101375,0.16338613969269106,4572.862764499123,0
1F5MA_and_1PKHA,0.0,0.0,,0.17635194367555287,0.0906901494336686,-173.1851988515974,0
1F9RA_and_1FK5A,0.0,0.038,2.8e-09,0.2357798301154559,0.16430139924405393,9483.965239424855,0
1F9ZA_and_1MJHA,0.0,0.0,9.4e-06,0.23996751879496167,0.1609408666719676,4515.63103893,0
1FAOA_and_3BDUA,0.014032,0.0899,3.1e-06,0.3910829111232342,0.3159416989333417,1457.5409465666078,0
1FQTA_and_2EIGA,0.0,0.0,4.8e-08,0.3169810604958879,0.2163428449377575,3862.2496040513797,0
1G0OA_and_2HAHA,0.0,0.0,,0.2699291045943363,0.1577766399822754,384.2950938051399,0
1G8EA_and_1BN7A,0.015321,0.0424,1.6e-06,0.3939268878931824,0.2944021103033043,2938.9032412934953,0
1GQVA_and_2PVBA,0.041155,0.108,5.2e-10,0.40573523243716114,0.34149913848711283,1082.6635882239702,0
1GY7A_and_1MO1A,0.080031,0.1711,1.7e-06,0.4375458121773021,0.3729546825236634,669.569300949604,0
1HLQA_and_3B4QA,0.01324,0.1042,3.1e-06,0.3257654144550154,0.258348068361804,2574.3041230684807,0
1HZTA_and_2HQ6A,0.038244,0.1485,"0,00001",0.46427371444730375,0.4253312696178665,904.0286582158535,0
1I1JA_and_1JATA,0.0,0.0,1.7e-05,0.20270748059205945,0.10946152091118269,8189.030318434235,0
1IJBA_and_1NIGA,0.0,0.0291,1.5e-06,0.36513017155737926,0.29526679223730495,1337.8070516964995,0
1IKTA_and_2J43A,0.0,0.0,2.3e-07,0.2488040922120246,0.15557990409700664,3969.1606138244415,0
1J30A_and_3PCGM,0.014371,0.0688,0.00019,0.4470277314127578,0.37752587228288503,822.0770008499609,0
1J8RA_and_2F9LA,0.0,0.0196,5.8e-09,0.26818004830439546,0.1943964768930376,9543.36877021683,0
1JLVA_and_1UCDA,0.0,0.0,3.8e-08,0.24030069765184897,0.1562760754553209,1275.5153865103748,0
1JOSA_and_1OH0A,0.014656,0.0959,1.5e-05,0.37913523812663835,0.312513993947249,1784.5353717959583,0
1JSDB_and_1MHYG,0.012661,0.0455,8.8e-12,0.28433977730872884,0.21094363125585375,79238.75028342602,0
