id,ipsae,pdockq2,prodigy_kd,ipTM+pTM,dG_SASA_ratio,prodigy_dg_internal,ipTM,dG_rosetta
1dev__A1_Q15796_and_1dev__B1_O95405,0.842195,0.7079,2.396519517578575e-11,0.9056468723938654,-0.007942044148615665,-14.47920142857143,0.8999081426263151,-22.48379707336426
1f3u__B1_P35269_and_1f3u__A1_P13984,0.801049,0.6235,6.035174682043887e-13,0.87405535121097,0.01270729306730842,-16.65902753554503,0.8820975601430711,59.15790939331055
1gk6__A1_P03069_and_1gk6__B1_P03069,0.687575,0.7592,4.325468710842819e-06,0.8420693505679792,-0.03135442293987861,-7.312889999999999,0.8422414727608691,-91.66987609863281
1gmj__A1_P01096_and_1gmj__B1_P01096,0.113062,0.2755,1.940335391279639e-05,0.571138724703979,-0.02507656532498858,-6.424208,0.5532682636451492,-45.15824127197266
1h31__A1_Q939U1_and_1h31__B1_Q939U4,0.899622,0.7446,2.831276262674094e-09,0.9575430430586003,-0.01384300588652285,-11.65382180327869,0.9567188658746643,-34.74588394165039
1ijx__A1_P97401_and_1ijx__C1_P97401,0.692283,0.6278,2.148306733351766e-09,0.8541923896654098,0.4075255254514863,-11.81726666666667,0.845671126298008,1065.351318359375
1jrk__A1_Q8ZTD8_and_1jrk__B1_Q8ZTD8,0.826044,0.6282,1.454966308141029e-08,0.8994672974392173,-0.009099005858604485,-10.68466607929516,0.8959861936413829,-29.46683502197266
1myl__A1_P03050_and_1myl__B1_P03050,0.703455,0.8133,7.061674199470246e-08,0.8684541096571606,0.03062144854045182,-9.749342835820897,0.8662465525488079,94.8777847290039
1nkn__B1_Q17042_and_1nkn__A1_Q17042,0.604792,0.684,6.412877987111558e-09,0.76548252012117,-0.01027024667544792,-11.16974103448276,0.7644046535941026,-42.03885269165039
1pdk__A1_P15319_and_1pdk__B1_P62532,0.891033,0.6021,2.448699359006503e-11,0.9241556976354299,0.3690903280391977,-14.46644810408922,0.923973496804399,1278.1474609375
1sj5__A1_Q9WY07_and_1sj5__B1_Q9WY07,0.880273,0.6825,1.755187930167184e-07,0.9289336473616454,-0.0138097372504826,-9.210257972350231,0.9309232047195056,-33.24733352661133
1tfe__A1_P43895_and_1tfe__A2_P43895,0.843674,0.6577,1.433075787445354e-08,0.9108012702526652,-0.03321874520374914,-10.69364198237886,0.9078093762329323,-68.95756530761719
1uix__A1_Q28021_and_1uix__B1_Q28021,0.560597,0.6681,5.175038316629739e-08,0.7338804165534633,-0.01095431323442589,-9.933385185185186,0.730745059056669,-35.80820846557617
1vla__A1_Q9X021_and_1vla__B1_Q9X021,0.89517,0.7379,1.276114898866711e-18,0.9407625283603325,-0.02504490977380701,-24.39568773584906,0.9401204207591076,-159.4609527587891
1w33__A1_O50957_and_1w33__B1_O50957,0.872552,0.5875,5.532106737587389e-13,0.915599831203203,-0.02630973253225727,-16.71056068027211,0.9230518022660208,-126.9490585327148
1xe8__B1_Q03629_and_1xe8__A1_Q03629,0.920284,0.7532,2.358460429522747e-10,0.9531562375040522,0.01772045246228698,-13.12534368231047,0.952058717952289,48.37483215332031
1xuv__A1_Q8PZJ2_and_1xuv__C1_Q8PZJ2,0.89524,0.7372,1.962832560211827e-08,0.9422316909047994,-0.0002484527235015955,-10.50739104477612,0.940055492773482,-0.502743661403656
1ygt__A1_Q94524_and_1ygt__A2_Q94524,0.839768,0.7533,3.969313677591453e-15,0.9130185986724839,0.1662975256480482,-19.63379219512195,0.9100244812365469,514.3174438476562
1zva__A1_P59594_and_1zva__A2_P59594,0.670949,0.679,1.79443376610178e-08,0.8392657951700615,0.08487042432085042,-10.56050092436975,0.8360533403235544,248.0612487792969
2b0a__A1_Q58193_and_2b0a__A2_Q58193,0.903882,0.751,1.710033090290666e-11,0.9443674969601275,-0.01714289994036551,-14.67903441295547,0.9419320346982152,-75.68446350097656
2bdt__A1_Q9K6P2_and_2bdt__A2_Q9K6P2,0.867791,0.6581,2.544321928691245e-09,0.9225964694039855,-0.03154406267432303,-11.71709448979592,0.9206135109571338,-62.99460983276367
