id,ipsae,pdockq2,prodigy_kd,prodigy_dg_internal,dG_rosetta,ipTM+pTM,pTM,dG_SASA_ratio
1dev__A1_Q15796_and_1dev__B1_O95405,0.842195,0.7079,2.3965195175785746e-11,-14.479201428571429,-22.483797073364258,0.9056468723938654,0.8999081426263151,-0.007942044148615665
1f3u__B1_P35269_and_1f3u__A1_P13984,0.801049,0.6235,6.035174682043887e-13,-16.659027535545025,59.15790939331055,0.87405535121097,0.8820975601430711,0.012707293067308419
1gk6__A1_P03069_and_1gk6__B1_P03069,0.687575,0.7592,4.325468710842819e-06,-7.3128899999999994,-91.66987609863281,0.8420693505679792,0.8422414727608691,-0.031354422939878605
1gmj__A1_P01096_and_1gmj__B1_P01096,0.113062,0.2755,1.9403353912796388e-05,-6.424208,-45.158241271972656,0.571138724703979,0.5532682636451492,-0.025076565324988583
1h31__A1_Q939U1_and_1h31__B1_Q939U4,0.899622,0.7446,2.8312762626740942e-09,-11.653821803278689,-34.74588394165039,0.9575430430586003,0.9567188658746643,-0.01384300588652285
1ijx__A1_P97401_and_1ijx__C1_P97401,0.692283,0.6278,2.148306733351766e-09,-11.817266666666667,1065.351318359375,0.8541923896654098,0.845671126298008,0.40752552545148635
1jrk__A1_Q8ZTD8_and_1jrk__B1_Q8ZTD8,0.826044,0.6282,1.4549663081410292e-08,-10.684666079295155,-29.466835021972656,0.8994672974392173,0.8959861936413829,-0.009099005858604485
1myl__A1_P03050_and_1myl__B1_P03050,0.703455,0.8133,7.061674199470246e-08,-9.749342835820897,94.8777847290039,0.8684541096571606,0.8662465525488079,0.03062144854045182
1nkn__B1_Q17042_and_1nkn__A1_Q17042,0.604792,0.684,6.4128779871115575e-09,-11.169741034482758,-42.03885269165039,0.76548252012117,0.7644046535941026,-0.01027024667544792
1pdk__A1_P15319_and_1pdk__B1_P62532,0.891033,0.6021,2.4486993590065028e-11,-14.46644810408922,1278.1474609375,0.9241556976354299,0.923973496804399,0.36909032803919767
1sj5__A1_Q9WY07_and_1sj5__B1_Q9WY07,0.880273,0.6825,1.7551879301671838e-07,-9.210257972350231,-33.24733352661133,0.9289336473616454,0.9309232047195056,-0.013809737250482597
1tfe__A1_P43895_and_1tfe__A2_P43895,0.843674,0.6577,1.4330757874453543e-08,-10.693641982378855,-68.95756530761719,0.9108012702526652,0.9078093762329323,-0.03321874520374914
1uix__A1_Q28021_and_1uix__B1_Q28021,0.560597,0.6681,5.175038316629739e-08,-9.933385185185186,-35.80820846557617,0.7338804165534633,0.730745059056669,-0.010954313234425887
1vla__A1_Q9X021_and_1vla__B1_Q9X021,0.89517,0.7379,1.2761148988667112e-18,-24.39568773584906,-159.46095275878906,0.9407625283603325,0.9401204207591076,-0.025044909773807005
1w33__A1_O50957_and_1w33__B1_O50957,0.872552,0.5875,5.532106737587389e-13,-16.71056068027211,-126.94905853271484,0.915599831203203,0.9230518022660208,-0.026309732532257272
1xe8__B1_Q03629_and_1xe8__A1_Q03629,0.920284,0.7532,2.3584604295227467e-10,-13.125343682310469,48.37483215332031,0.9531562375040522,0.952058717952289,0.017720452462286984
1xuv__A1_Q8PZJ2_and_1xuv__C1_Q8PZJ2,0.89524,0.7372,1.9628325602118267e-08,-10.50739104477612,-0.502743661403656,0.9422316909047994,0.940055492773482,-0.00024845272350159547
1ygt__A1_Q94524_and_1ygt__A2_Q94524,0.839768,0.7533,3.969313677591453e-15,-19.633792195121952,514.3174438476562,0.9130185986724839,0.9100244812365469,0.16629752564804823
1zva__A1_P59594_and_1zva__A2_P59594,0.670949,0.679,1.79443376610178e-08,-10.560500924369748,248.06124877929688,0.8392657951700615,0.8360533403235544,0.08487042432085042
2b0a__A1_Q58193_and_2b0a__A2_Q58193,0.903882,0.751,1.710033090290666e-11,-14.679034412955467,-75.68446350097656,0.9443674969601275,0.9419320346982152,-0.017142899940365514
2bdt__A1_Q9K6P2_and_2bdt__A2_Q9K6P2,0.867791,0.6581,2.5443219286912455e-09,-11.717094489795919,-62.99460983276367,0.9225964694039855,0.9206135109571338,-0.03154406267432303
2bti__A1_A1JK11_and_2bti__B1_A1JK11,0.747853,0.7643,1.8517953724400987e-11,-14.631878686868689,146.5460205078125,0.8717498507484542,0.8720586976652441,0.03631610812493077
2cg5__A1_Q9NRN7_and_2cg5__B1_P49327,0.876394,0.7037,5.346187017974011e-07,-8.550784285714286,114.01021575927734,0.922273426752589,0.9183425557831038,0.05297706599236653
2f22__B1_Q9RC77_and_2f22__A1_Q9RC77,0.916483,0.7679,7.95270583834662e-11,-13.768993333333334,-65.05016326904297,0.9521757178838663,0.9514908327257575,-0.02627625364861035
2gkv__A1_P00777_and_2gkv__B1_P68390,0.915252,0.7667,1.5199833887481324e-10,-13.385454252873565,-29.83596420288086,0.9338762935072091,0.9281839504478919,-0.020929617421020556
2gt4__A1_P32056_and_2gt4__B1_P32056,0.900093,0.7471,1.4686547127660106e-08,-10.67912170940171,-54.55521774291992,0.9440566505333632,0.9424506548203091,-0.02086289901577773
2guh__A1_Q0S8Y3_and_2guh__B1_Q0S8Y3,0.893619,0.7193,9.345565519337509e-11,-13.673436190476192,-48.94081115722656,0.9377764231874834,0.9366244820540074,-0.012328499522109853
2i2w__A1_P63224_and_2i2w__D1_P63224,0.748994,0.5875,7.682365409228311e-11,-13.789470585774058,109.48536682128906,0.8994250992686094,0.8946828788083246,0.025883663007743418
2iml__A1_O28442_and_2iml__C1_O28442,0.934663,0.7867,5.429908036338981e-10,-12.631592564102565,-101.29922485351562,0.9616418001255534,0.96070209987503,-0.03149645651070091
2j8q__A1_O43809_and_2j8q__B1_O43809,0.909012,0.699,1.5750483467784758e-11,-14.72772,-67.53157043457031,0.9449083900259132,0.9452863879208097,-0.022227211547153892
2ns9__A1_Q9Y9R3_and_2ns9__B1_Q9Y9R3,0.594527,0.5139,4.826912320620061e-07,-8.611281969696968,114.62149047851562,0.7789797194237658,0.7612066072352194,0.05509192986894637
2nvn__A1_Q31MH7_and_2nvn__A2_Q31MH7,0.840484,0.7307,8.065307327308184e-06,-6.94398793814433,147.73333740234375,0.9092168211753873,0.9074085477205163,0.07799791108701587
2nyh__A1_Q13JM0_and_2nyh__B1_Q13JM0,0.908272,0.8093,1.7871993523846334e-11,-14.652901325301206,-52.824127197265625,0.9494219295774216,0.9485898789327316,-0.018462715264891717
2nys__A1_Q8U561_and_2nys__B1_Q8U561,0.756739,0.6178,8.246990504957646e-06,-6.930798241758243,6.534609794616699,0.8653055131930347,0.8628736158325536,0.0036599725491068807
2ox1__A1_O30011_and_2ox1__B1_O30011,0.891072,0.7139,1.1769703175398252e-06,-8.0835398540146,7.145570755004883,0.9382594650675122,0.9357978515609792,0.003209089248856276
2pqv__B1_A0A0H2UMZ7_and_2pqv__A1_A0A0H2UMZ7,0.890711,0.7002,1.3911438559584581e-08,-10.7112250877193,-37.21869659423828,0.9374509314655469,0.9356451554469366,-0.01591154505595163
2q3t__A1_Q9LUJ3_and_2q3t__A2_Q9LUJ3,0.843335,0.7228,1.1924648379546018e-08,-10.80246835164835,-43.21943283081055,0.9135982576294677,0.9104825883105011,-0.018383335554749487
2r01__A1_Q8KFI1_and_2r01__A2_Q8KFI1,0.937134,0.7825,1.3963831846364595e-14,-18.889016382252557,-170.51602172851562,0.9631484437155793,0.9623543396480706,-0.028951893463819503
2rkl__F1_Q06263_and_2rkl__E1_Q06263,0.745887,0.7954,7.58155650097185e-06,-6.980610617283951,-0.2955811023712158,0.8698448819069498,0.867399110515652,-0.0001498728080935141
2tdx__A1_P0DJL7_and_2tdx__A2_P0DJL7,0.820148,0.6998,1.7245855215866273e-05,-6.494,-50.87010955810547,0.9011413776463949,0.8964368267237725,-0.030324774793425865
2vkj__A1_Q9X1W9_and_2vkj__B1_Q9X1W9,0.689809,0.6089,0.00015434669305723324,-5.196359462365592,2443.124267578125,0.8230567775953122,0.8199055506162165,1.4005138510685613
2vvo__A1_P9WKD7_and_2vvo__B1_P9WKD7,0.936977,0.8361,6.722976225083527e-13,-16.5951256097561,-54.34807205200195,0.9640516235104231,0.9635431593955879,-0.012881401208819938
2wcu__A1_Q8R2K1_and_2wcu__B1_Q8R2K1,0.739571,0.5784,6.460367202958102e-05,-5.712027906976747,-41.47706604003906,0.8963525247113766,0.8914095266755181,-0.022901515767315077
2wfh__A1_O94813_and_2wfh__B1_O94813,0.861434,0.6912,4.3108609011260345e-12,-15.494909999999999,19.406021118164062,0.9212147201494605,0.9168240243052193,0.00703115090102721
2wns__B1_P11172_and_2wns__A1_P11172,0.865809,0.6407,2.617171998825266e-10,-13.063715882352941,1287.7369384765625,0.9195427718269783,0.9181564201697354,0.3844967963159365
2wwo__A1_Q66ED7_and_2wwo__B1_Q66ED7,0.849799,0.6647,2.172982180322377e-05,-6.35716,-36.838199615478516,0.9150215663789936,0.9116444716206975,-0.023153132520220537
2yve__A1_Q8NMG3_and_2yve__B1_Q8NMG3,0.880036,0.6985,4.7797036756928215e-09,-11.343773629343628,216.76588439941406,0.9295318608961979,0.9288198240427672,0.059454293769504535
2yyh__A1_O67435_and_2yyh__B1_O67435,0.863821,0.7168,1.6647786083418223e-07,-9.2415699009901,-34.375396728515625,0.9290747840594121,0.9263144039782019,-0.01345504899664526
2zw2__A1_F9VNF4_and_2zw2__B1_F9VNF4,0.855284,0.811,6.195620764565301e-11,-13.91682,-120.98382568359375,0.923878548468309,0.9217854772212576,-0.03828240353513126
3cq3__A1_Q53W28_and_3cq3__A2_Q53W28,0.0,0.0262,8.712720244778117e-06,-6.898271392405064,937.9443969726562,0.3229569271240059,0.260013112505709,0.6343064305699152
